i27546376x,c24373643,0894-9263 0894-9263 1,PB1011066,premiere,"Premiere (New York, N.Y. : 1987)"
i275459536,c24373667,0048-4911 0048-4911 z,PB1010765,positif,
i275468859,c24497459,1241-8153,PB1012263,cinémathèque,"Cinémathèque (Paris, France)"
i275476741,c24501402,0306-7661 0306-7661,PB1013407,framework,
i275483447,c24501839,0164-9655 0164-9655 1,PB1014011,millimeter,
i275483113,c24501839,0164-9655 0164-9655 1,PB1013978,millimeter,
i275476212,c24501347,0015-1475,PB1012983,film world,"Film world (Bombay, India)"
i275468938,c24497460,0009-7071 0009-7071 4,PB1012279,cinema canada,
i275471974,c24499390,0360-3695 0885-1107,PB1012543,film & history,
i27547205x,c24499390,0360-3695 0885-1107,PB1012551,film & history,
i275467442,c24497320,0006-8527 0006-8527 1,PB1012081,box office,
i275457308,c24364617,0008-011X 0757-8075,PB1010486,cahiers du cinéma,
i275461877,c24373679,0045-1150,PB1010934,l'avant-scène cinéma,
i275454964,c24358563,0037-4830,PB1011277,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275439884,c21349447,0731-5198,PB1013597,the independent,"Independent (New York, N.Y. : 1978)"
i275441611,c17414477,1077-9361 0742-533 0742-5333 1,PB1008169,international documentary,
i275463588,c24373643,0894-9263 0894-9263 1,PB1011012,premiere,"Premiere (New York, N.Y. : 1987)"
i27543977x,c21349447,0731-5198,PB1013586,the independent,"Independent (New York, N.Y. : 1978)"
i275472449,c24499419,0163-5069 0163-5069 1,PB1012512,film criticism,
i27546023x,c24373679,0045-1150,PB1010845,l'avant-scène cinéma,
i275446499,c16330274,0036-9543 0036-9546 z,PB1007255,screen,"Screen (London, England)"
i275457047,c24364617,0008-011X 0757-8075,PB1011738,cahiers du cinéma,
i275432087,c1740910x,0199-7300 1,PB1008388,the film journal,
i27542571x,c21926451,0300-7472,PB1011387,afterimage,
i275467910,c2449737x,0826-9866,PB1012208,cineaction!,
i275460587,c24373679,0045-1150,PB1011637,l'avant-scène cinéma,
i278712290,c24901581,0588-8018,PB1015878,communications,"Communications (Paris, France)"
i275477356,c2450144x,0015-1610 0015-1610 1,PB1013322,filmmakers newsletter,
i275450491,c24357571,0019-3712 0019-3712 1,PB1014055,the independent film journal,
i275441945,c14687197,0047-2719 0047-2719 1,PB1007495,the journal of popular film,
i275481360,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013849,main,"MAIN (Oakland, Calif.)"
i275422264,c14643856,0015-1327 0160-7316,PB1008684,film library quarterly,
i275460058,c24373679,0045-1150,PB1010828,l'avant-scène cinéma,
i275456791,c24364617,0008-011X 0757-8075,PB1010550,cahiers du cinéma,
i275458933,c24373667,0048-4911 0048-4911 z,PB1010705,positif,
i275473156,c24500331,0311-3639 0311-3639,PB1012759,cinema papers,
i27543834x,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013686,the independent film & video monthly,
i275433596,c1740910x,0199-7300 1,PB1008540,the film journal,
i275470167,c24498294,1049-0434 1049-0434 1,PB1012459,entertainment weekly,
i275425368,c17398411,0261-4472,PB1011327,afterimage,"Afterimage (London, England)"
i275451070,c24357571,0019-3712 0019-3712 1,PB1014113,the independent film journal,
i275459688,c24373667,0048-4911 0048-4911 z,PB1010780,positif,
i275485080,c2450192x,1050-9208 0146-0013 z,PB1014621,quarterly review of film and video,
i275474513,c24500380,0015-1025 0015-1025 z,PB1013035,film,"Film (London, England : 1954)"
i275460423,c24373679,0045-1150,PB1010864,l'avant-scène cinéma,
i275471743,c24499390,0360-3695 0885-1107,PB1012520,film & history,
i275472206,c24499419,0163-5069 0163-5069 1,PB1012487,film criticism,
i275478087,c2450144x,0015-1610 0015-1610 1,PB1013286,filmmakers newsletter,
i275426129,c21926451,0300-7472,PB1011429,afterimage,
i275426439,c21926451,0300-7472,PB1011338,afterimage,
i275473041,c24500331,0311-3639 0311-3639,PB1012748,cinema papers,
i275473697,c24500331,0311-3639 0311-3639,PB1012964,cinema papers,
i275476911,c24501426,1083-5369 1083-5369 1,PB1013351,films of the golden age,
i275483320,c24501839,0164-9655 0164-9655 1,PB1013999,millimeter,
i275440394,c21349447,0731-5198,PB1013648,the independent,"Independent (New York, N.Y. : 1978)"
i275438752,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013725,the independent film & video monthly,
i275450302,c24356888,0046-3787 0046-3787 1,PB1009399,the film journal,
i275446931,c16330274,0036-9543 0036-9546 z,PB1009356,screen,"Screen (London, England)"
i275452815,c24357613,0027-0407,PB1010211,monthly film bulletin,
i275457825,c24370526,0015-1270 0015-1270 1,PB1010200,film heritage,
i275432506,c1740910x,0199-7300 1,PB1008431,the film journal,
i27548385x,c24501840,0885-5021 0885-5021 1,PB1014233,movietone news,
i275487003,c24502571,0306-0691,PB1014465,screen education,Screen education (1974)
i275433407,c1740910x,0199-7300 1,PB1008521,the film journal,
i275483587,c24501839,0164-9655 0164-9655 1,PB1014025,millimeter,
i275422732,c14643856,0015-1327 0160-7316,PB1012841,film library quarterly,
i275440643,c21349447,0731-5198,PB1013673,the independent,"Independent (New York, N.Y. : 1978)"
i275425459,c21926451,0300-7472,PB1011366,afterimage,
i275441374,c17414477,1077-9361 0742-533 0742-5333 1,PB1008151,international documentary,
i275425964,c21926451,0300-7472,PB1011412,afterimage,
i275474550,c24500380,0015-1025 0015-1025 z,PB1013039,film,"Film (London, England : 1954)"
i275475268,c24500380,0015-1025 0015-1025 z,PB1013110,film,"Film (London, England : 1954)"
i275473636,c24500331,0311-3639 0311-3639,PB1012958,cinema papers,
i275423529,c22834175,0738-7563,PB1014552,video networks,
i27546698x,c24497319,0147-4049 0147-4049 1,PB1012130,bright lights,
i275433274,c1740910x,0199-7300 1,PB1008508,the film journal,
i275441118,c17414477,1077-9361 0742-533 0742-5333 1,PB1008125,international documentary,
i275442135,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009108,the journal of popular film and television,
i275470982,c24498361,0743-4545 0743-4545 1,PB1012603,film and video makers travel sheet,
i275451896,c24357571,0019-3712 0019-3712 1,PB1014195,the independent film journal,
i275439963,c21349447,0731-5198,PB1013605,the independent,"Independent (New York, N.Y. : 1978)"
i275453029,c24357613,0027-0407,PB1010232,monthly film bulletin,
i275467053,c24497319,0147-4049 0147-4049 1,PB1012122,bright lights,
i275486989,c24502571,0306-0691,PB1014463,screen education,Screen education (1974)
i275463242,c24373643,0894-9263 0894-9263 1,PB1010978,premiere,"Premiere (New York, N.Y. : 1987)"
i275484853,c24501906,0146-0013,PB1014637,quarterly review of film studies,
i275439902,c21349447,0731-5198,PB1013599,the independent,"Independent (New York, N.Y. : 1978)"
i275468057,c2449737x,0826-9866,PB1012222,cineaction!,
i275481177,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013829,main,"MAIN (Oakland, Calif.)"
i275461063,c24373679,0045-1150,PB1011687,l'avant-scène cinéma,
i27546393x,c24369780,0015-153X,PB1010192,filmfacts,
i27548077x,c24501736,0191-541X,PB1013788,lighting dimensions,
i275471172,c24498361,0743-4545 0743-4545 1,PB1012622,film and video makers travel sheet,
i275440400,c21349447,0731-5198,PB1013649,the independent,"Independent (New York, N.Y. : 1978)"
i275465986,c24495724,1041-617X 1,PB1011933,animation magazine,
i275426956,c21926451,0300-7472,PB1009228,afterimage,
i275432877,c1740910x,0199-7300 1,PB1008468,the film journal,
i275451793,c24357571,0019-3712 0019-3712 1,PB1014185,the independent film journal,
i275459275,c24373667,0048-4911 0048-4911 z,PB1010739,positif,
i275452049,c24357571,0019-3712 0019-3712 1,PB1014210,the independent film journal,
i275440357,c21349447,0731-5198,PB1013644,the independent,"Independent (New York, N.Y. : 1978)"
i275457564,c2436535x,0361-4751,PB1010282,american film,
i275459093,c24373667,0048-4911 0048-4911 z,PB1010721,positif,
i275477988,c2450144x,0015-1610 0015-1610 1,PB1013276,filmmakers newsletter,
i275477630,c2450144x,0015-1610 0015-1610 1,PB1013203,filmmakers newsletter,
i275470672,c24498361,0743-4545 0743-4545 1,PB1012572,film and video makers travel sheet,
i27546989x,c24498294,1049-0434 1049-0434 1,PB1012432,entertainment weekly,
i275426609,c21926451,0300-7472,PB1011355,afterimage,
i275469098,c24497460,0009-7071 0009-7071 4,PB1012295,cinema canada,
i275475852,c24500422,0896-6389 0896-6389 1,PB1012854,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275478361,c24501487,1063-8954 1063-8954 1,PB1013137,filmmaker,
i275474720,c24500380,0015-1025 0015-1025 z,PB1013056,film,"Film (London, England : 1954)"
i27545681x,c24364617,0008-011X 0757-8075,PB1010552,cahiers du cinéma,
i275451951,c24357571,0019-3712 0019-3712 1,PB1014201,the independent film journal,
i275477186,c2450144x,0015-1610 0015-1610 1,PB1013304,filmmakers newsletter,
i275455403,c24358563,0037-4830,PB1011321,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275456213,c24364617,0008-011X 0757-8075,PB1010435,cahiers du cinéma,
i275451537,c24357571,0019-3712 0019-3712 1,PB1014159,the independent film journal,
i275451240,c24357571,0019-3712 0019-3712 1,PB1014130,the independent film journal,
i275438259,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012031,the independent film & video monthly,
i275422380,c14643856,0015-1327 0160-7316,PB1012807,film library quarterly,
i275438922,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009311,the independent film & video monthly,
i27546085x,c24373679,0045-1150,PB1011666,l'avant-scène cinéma,
i275433043,c1740910x,0199-7300 1,PB1008485,the film journal,
i275462328,c24373679,0045-1150,PB1010809,l'avant-scène cinéma,
i27547818x,c2450144x,0015-1610 0015-1610 1,PB1013297,filmmakers newsletter,
i275476583,c24501360,0015-5128,PB1013391,focus on film,
i275423657,c22834175,0738-7563,PB1014565,video networks,
i275468872,c24497460,0009-7071 0009-7071 4,PB1012273,cinema canada,
i275455890,c24364617,0008-011X 0757-8075,PB1010499,cahiers du cinéma,
i275472073,c24499390,0360-3695 0885-1107,PB1012553,film & history,
i27544272x,c17212534,0277-9897,PB1009173,post script,"Post script (Jacksonville, Fla.)"
i275483460,c24501839,0164-9655 0164-9655 1,PB1014013,millimeter,
i275476765,c24501402,0306-7661 0306-7661,PB1013409,framework,
i275463746,c24373643,0894-9263 0894-9263 1,PB1011028,premiere,"Premiere (New York, N.Y. : 1987)"
i275484117,c24501840,0885-5021 0885-5021 1,PB1014259,movietone news,
i275466516,c24497307,0158-4154 0158-4154,PB1012146,cantrill's filmnotes,
i275441581,c17414477,1077-9361 0742-533 0742-5333 1,PB1008956,international documentary,
i275423475,c22834175,0738-7563,PB1014547,video networks,
i275468914,c24497460,0009-7071 0009-7071 4,PB1012277,cinema canada,
i275471913,c24499390,0360-3695 0885-1107,PB1012537,film & history,
i275432312,c1740910x,0199-7300 1,PB1008412,the film journal,
i275461890,c24373679,0045-1150,PB1010936,l'avant-scène cinéma,
i275454940,c24358563,0037-4830,PB1011275,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275457369,c24364617,0008-011X 0757-8075,PB1010492,cahiers du cinéma,
i275440989,c17414477,1077-9361 0742-533 0742-5333 1,PB1008112,international documentary,
i275441635,c17414477,1077-9361 0742-533 0742-5333 1,PB1008961,international documentary,
i275457023,c24364617,0008-011X 0757-8075,PB1011736,cahiers du cinéma,
i275442585,c17212534,0277-9897,PB1008176,post script,"Post script (Jacksonville, Fla.)"
i275467934,c2449737x,0826-9866,PB1012210,cineaction!,
i275485535,c24501955,1079-6851 1079-6851 1,PB1014403,scenario,"Scenario (New York, N.Y.)"
i275457795,c24370526,0015-1270 0015-1270 1,PB1010197,film heritage,
i275470532,c24498361,0743-4545 0743-4545 1,PB1012557,film and video makers travel sheet,
i275425733,c21926451,0300-7472,PB1011390,afterimage,
i275447297,c14756985,0160-6840,PB1007480,wide angle,
i275439574,c21349447,0731-5198,PB1013566,the independent,"Independent (New York, N.Y. : 1978)"
i275441969,c24884753,0195-6051 0195-6051 0047-2719 1,PB1007497,the journal of popular film and television,
i275481347,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013847,main,"MAIN (Oakland, Calif.)"
i275460071,c24373679,0045-1150,PB1010830,l'avant-scène cinéma,
i275469797,c24498282,0145-6032 1,PB1012414,cinefantastique,
i275475116,c24500380,0015-1025 0015-1025 z,PB1013095,film,"Film (London, England : 1954)"
i275456778,c24364617,0008-011X 0757-8075,PB1010548,cahiers du cinéma,
i275439756,c21349447,0731-5198,PB1013584,the independent,"Independent (New York, N.Y. : 1978)"
i275440461,c21349447,0731-5198,PB1013655,the independent,"Independent (New York, N.Y. : 1978)"
i275488408,c24502765,1044-7288 1044-7288 0147-8907 1,PB1014861,video magazine,"Video magazine (New York, N.Y.)"
i27545891x,c24373667,0048-4911 0048-4911 z,PB1010703,positif,
i275461300,c24373679,0045-1150,PB1010893,l'avant-scène cinéma,
i275440217,c21349447,0731-5198,PB1013630,the independent,"Independent (New York, N.Y. : 1978)"
i275474537,c24500380,0015-1025 0015-1025 z,PB1013037,film,"Film (London, England : 1954)"
i275424121,c22834175,0738-7563,PB1014612,video networks,
i27546913x,c24497460,0009-7071 0009-7071 4,PB1012299,cinema canada,
i275472267,c24499419,0163-5069 0163-5069 1,PB1012494,film criticism,
i275426142,c21926451,0300-7472,PB1011431,afterimage,
i275426415,c21926451,0300-7472,PB1011455,afterimage,
i275440370,c21349447,0731-5198,PB1013646,the independent,"Independent (New York, N.Y. : 1978)"
i275487398,c24502686,0196-8793 0196-8793 1,PB1014488,video review,
i275465792,c24495724,1041-617X 1,PB1011912,animation magazine,
i275446918,c16330274,0036-9543 0036-9546 z,PB1007283,screen,"Screen (London, England)"
i27547172x,c24499390,0360-3695 0885-1107,PB1012518,film & history,
i27547639x,c24501360,0015-5128,PB1013372,focus on film,
i275452876,c24357613,0027-0407,PB1010217,monthly film bulletin,
i275457801,c24370526,0015-1270 0015-1270 1,PB1010198,film heritage,
i275487027,c24502571,0306-0691,PB1014467,screen education,Screen education (1974)
i27547737x,c2450144x,0015-1610 0015-1610 1,PB1013177,filmmakers newsletter,
i275426336,c21926451,0300-7472,PB1011449,afterimage,
i275483873,c24501840,0885-5021 0885-5021 1,PB1014235,movietone news,
i275422719,c14643856,0015-1327 0160-7316,PB1012839,film library quarterly,
i275440424,c21349447,0731-5198,PB1013651,the independent,"Independent (New York, N.Y. : 1978)"
i275441350,c17414477,1077-9361 0742-533 0742-5333 1,PB1008149,international documentary,
i275480963,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013807,main,"MAIN (Oakland, Calif.)"
i275483708,c24501839,0164-9655 0164-9655 1,PB1014037,millimeter,
i275425940,c21926451,0300-7472,PB1011410,afterimage,
i275475281,c24500380,0015-1025 0015-1025 z,PB1013112,film,"Film (London, England : 1954)"
i275473612,c24500331,0311-3639 0311-3639,PB1012956,cinema papers,
i275433250,c1740910x,0199-7300 1,PB1008506,the film journal,
i275441131,c17414477,1077-9361 0742-533 0742-5333 1,PB1008127,international documentary,
i27546703x,c24497319,0147-4049 0147-4049 1,PB1012135,bright lights,
i275463485,c24373643,0894-9263 0894-9263 1,PB1011002,premiere,"Premiere (New York, N.Y. : 1987)"
i275453005,c24357613,0027-0407,PB1010230,monthly film bulletin,
i275455245,c24358563,0037-4830,PB1011305,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275474884,c24500380,0015-1025 0015-1025 z,PB1013072,film,"Film (London, England : 1954)"
i275461932,c24373679,0045-1150,PB1010940,l'avant-scène cinéma,
i275486965,c24502571,0306-0691,PB1014461,screen education,Screen education (1974)
i275480756,c24501736,0191-541X,PB1013786,lighting dimensions,
i275463266,c24373643,0894-9263 0894-9263 1,PB1010980,premiere,"Premiere (New York, N.Y. : 1987)"
i275441477,c17414477,1077-9361 0742-533 0742-5333 1,PB1008161,international documentary,
i275468070,c2449737x,0826-9866,PB1012224,cineaction!,
i27542697x,c21926451,0300-7472,PB1009230,afterimage,
i275432129,c1740910x,0199-7300 1,PB1008392,the film journal,
i275442111,c24884753,0195-6051 0195-6051 0047-2719 1,PB1009106,the journal of popular film and television,
i275471111,c24498361,0743-4545 0743-4545 1,PB1012616,film and video makers travel sheet,
i275469050,c24497460,0009-7071 0009-7071 4,PB1012291,cinema canada,
i275452025,c24357571,0019-3712 0019-3712 1,PB1014208,the independent film journal,
i27546068x,c24373679,0045-1150,PB1011647,l'avant-scène cinéma,
i275459251,c24373667,0048-4911 0048-4911 z,PB1010737,positif,
i275459524,c24373667,0048-4911 0048-4911 z,PB1010764,positif,
i275446748,c16330274,0036-9543 0036-9546 z,PB1007492,screen,"Screen (London, England)"
i275438727,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013722,the independent film & video monthly,
i275485705,c24501955,1079-6851 1079-6851 1,PB1014420,scenario,"Scenario (New York, N.Y.)"
i275457588,c2436535x,0361-4751,PB1010284,american film,
i275473053,c24500331,0311-3639 0311-3639,PB1012749,cinema papers,
i275425447,c21926451,0300-7472,PB1011360,afterimage,
i275477964,c2450144x,0015-1610 0015-1610 1,PB1013274,filmmakers newsletter,
i275477617,c2450144x,0015-1610 0015-1610 1,PB1013201,filmmakers newsletter,
i275433419,c1740910x,0199-7300 1,PB1008522,the film journal,
i275426622,c21926451,0300-7472,PB1008803,afterimage,
i275478439,c24501499,0194-4339 0194-4339 1,PB1013146,filmmakers,
i27546930x,c24497460,0009-7071 0009-7071 4,PB1012316,cinema canada,
i275478348,c24501487,1063-8954 1063-8954 1,PB1013135,filmmaker,
i275474707,c24500380,0015-1025 0015-1025 z,PB1013054,film,"Film (London, England : 1954)"
i275460873,c24373679,0045-1150,PB1011668,l'avant-scène cinéma,
i275458696,c24373667,0048-4911 0048-4911 z,PB1010680,positif,
i275455427,c24358563,0037-4830,PB1011323,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275451513,c24357571,0019-3712 0019-3712 1,PB1014157,the independent film journal,
i275456237,c24364617,0008-011X 0757-8075,PB1010437,cahiers du cinéma,
i27547656x,c24501360,0015-5128,PB1013389,focus on film,
i275438272,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012038,the independent film & video monthly,
i275433067,c1740910x,0199-7300 1,PB1008487,the film journal,
i27545812x,c24373667,0048-4911 0048-4911 z,PB1010623,positif,
i275458349,c24373667,0048-4911 0048-4911 z,PB1010645,positif,
i275426087,c21926451,0300-7472,PB1011424,afterimage,
i275423670,c22834175,0738-7563,PB1014567,video networks,
i275468896,c24497460,0009-7071 0009-7071 4,PB1012275,cinema canada,
i275452992,c24357613,0027-0407,PB1010229,monthly film bulletin,
i275472012,c24499390,0360-3695 0885-1107,PB1012547,film & history,
i275476704,c24501402,0306-7661 0306-7661,PB1013403,framework,
i275471937,c24499390,0360-3695 0885-1107,PB1012539,film & history,
i275471287,c24498361,0743-4545 0743-4545 1,PB1012633,film and video makers travel sheet,
i275423451,c22834175,0738-7563,PB1014545,video networks,
i275423906,c22834175,0738-7563,PB1014590,video networks,
i275457345,c24364617,0008-011X 0757-8075,PB1010490,cahiers du cinéma,
i275432336,c1740910x,0199-7300 1,PB1008413,the film journal,
i275454927,c24358563,0037-4830,PB1011273,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275441659,c17414477,1077-9361 0742-533 0742-5333 1,PB1008963,international documentary,
i275422501,c14643856,0015-1327 0160-7316,PB1012847,film library quarterly,
i275484130,c24501840,0885-5021 0885-5021 1,PB1014261,movietone news,
i275468793,c24497447,1027-5991 1027-5991,PB1012104,blimp,"Blimp (Graz, Austria)"
i275485559,c24501955,1079-6851 1079-6851 1,PB1014405,scenario,"Scenario (New York, N.Y.)"
i275460277,c24373679,0045-1150,PB1010849,l'avant-scène cinéma,
i275467776,c2449737x,0826-9866,PB1012194,cineaction!,
i27547088x,c24498361,0743-4545 0743-4545 1,PB1012593,film and video makers travel sheet,
i27545700x,c24364617,0008-011X 0757-8075,PB1011734,cahiers du cinéma,
i27542702x,c21926451,0300-7472,PB1009235,afterimage,
i275456432,c24364617,0008-011X 0757-8075,PB1010457,cahiers du cinéma,
i27546653x,c24497307,0158-4154 0158-4154,PB1012148,cantrill's filmnotes,
i275439513,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009801,the independent film & video monthly,
i275441908,c17414477,1077-9361 0742-533 0742-5333 1,PB1008972,international documentary,
i275460095,c24373679,0045-1150,PB1010832,l'avant-scène cinéma,
i275442305,c24884753,0195-6051 0195-6051 0047-2719 1,PB1015272,the journal of popular film and television,
i275456754,c24364617,0008-011X 0757-8075,PB1010546,cahiers du cinéma,
i275458970,c24373667,0048-4911 0048-4911 z,PB1010709,positif,
i27547513x,c24500380,0015-1025 0015-1025 z,PB1013097,film,"Film (London, England : 1954)"
i27547866x,c24501499,0194-4339 0194-4339 1,PB1013168,filmmakers,
i275469116,c24497460,0009-7071 0009-7071 4,PB1012297,cinema canada,
i275432634,c1740910x,0199-7300 1,PB1008444,the film journal,
i275432932,c1740910x,0199-7300 1,PB1008474,the film journal,
i275461324,c24373679,0045-1150,PB1011697,l'avant-scène cinéma,
i275424108,c22834175,0738-7563,PB1014610,video networks,
i275440230,c21349447,0731-5198,PB1013632,the independent,"Independent (New York, N.Y. : 1978)"
i275471706,c24499390,0360-3695 0885-1107,PB1012516,film & history,
i275472243,c24499419,0163-5069 0163-5069 1,PB1012492,film criticism,
i275426166,c21926451,0300-7472,PB1011432,afterimage,
i275451161,c24357571,0019-3712 0019-3712 1,PB1014122,the independent film journal,
i275470763,c24498361,0743-4545 0743-4545 1,PB1012581,film and video makers travel sheet,
i275432683,c1740910x,0199-7300 1,PB1008449,the film journal,
i275476959,c24501426,1083-5369 1083-5369 1,PB1013355,films of the golden age,
i275459755,c24373667,0048-4911 0048-4911 z,PB1010789,positif,
i275438065,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012012,the independent film & video monthly,
i275474379,c24500367,0098-0471 0098-0471 1,PB1012801,film review digest,"Film review digest (Millwood, N.Y.)"
i275458593,c24373667,0048-4911 0048-4911 z,PB1010670,positif,
i275446979,c16330274,0036-9543 0036-9546 z,PB1009360,screen,"Screen (London, England)"
i275452852,c24357613,0027-0407,PB1010215,monthly film bulletin,
i275487040,c24502571,0306-0691,PB1014469,screen education,Screen education (1974)
i275473260,c24500331,0311-3639 0311-3639,PB1012770,cinema papers,
i275470076,c24498294,1049-0434 1049-0434 1,PB1012450,entertainment weekly,
i275483812,c24501840,0885-5021 0885-5021 1,PB1014229,movietone news,
i275438685,c22709022,1077-8918 1077-8918 0731-5198 1,PB1013718,the independent film & video monthly,
i275422367,c14643856,0015-1327 0160-7316,PB1012805,film library quarterly,
i275441337,c17414477,1077-9361 0742-533 0742-5333 1,PB1008147,international documentary,
i275477393,c2450144x,0015-1610 0015-1610 1,PB1013179,filmmakers newsletter,
i275431903,c1740910x,0199-7300 1,PB1008370,the film journal,
i275483721,c24501839,0164-9655 0164-9655 1,PB1014039,millimeter,
i275475918,c24500422,0896-6389 0896-6389 1,PB1012860,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275440825,c17414477,1077-9361 0742-533 0742-5333 1,PB1008095,international documentary,
i27545132x,c24357571,0019-3712 0019-3712 1,PB1014138,the independent film journal,
i275473673,c24500331,0311-3639 0311-3639,PB1012962,cinema papers,
i275441489,c17414477,1077-9361 0742-533 0742-5333 1,PB1008162,international documentary,
i275439550,c21349447,0731-5198,PB1013564,the independent,"Independent (New York, N.Y. : 1978)"
i276094268,c24884753,0195-6051 0195-6051 0047-2719 1,PB1015842,the journal of popular film and television,
i275450399,c24357571,0019-3712 0019-3712 1,PB1014045,the independent film journal,
i275466942,c24497307,0158-4154 0158-4154,PB1012189,cantrill's filmnotes,
i275463461,c24373643,0894-9263 0894-9263 1,PB1011000,premiere,"Premiere (New York, N.Y. : 1987)"
i275466498,c24497307,0158-4154 0158-4154,PB1012144,cantrill's filmnotes,
i275484099,c24501840,0885-5021 0885-5021 1,PB1014257,movietone news,
i275453066,c24357613,0027-0407,PB1010236,monthly film bulletin,
i275423025,c22834175,0738-7563,PB1011091,video networks,
i275467016,c24497319,0147-4049 0147-4049 1,PB1012133,bright lights,
i275467545,c24497320,0006-8527 0006-8527 1,PB1012091,box office,
i275461919,c24373679,0045-1150,PB1010938,l'avant-scène cinéma,
i275442688,c17212534,0277-9897,PB1009171,post script,"Post script (Jacksonville, Fla.)"
i275486941,c24502571,0306-0691,PB1014459,screen education,Screen education (1974)
i275481396,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013957,main,"MAIN (Oakland, Calif.)"
i275463205,c24373643,0894-9263 0894-9263 1,PB1010805,premiere,"Premiere (New York, N.Y. : 1987)"
i275484890,c24501906,0146-0013,PB1014641,quarterly review of film studies,
i275480732,c24501736,0191-541X,PB1013784,lighting dimensions,
i275432105,c1740910x,0199-7300 1,PB1008390,the film journal,
i275459962,c24373679,0045-1150,PB1010819,l'avant-scène cinéma,
i275439653,c21349447,0731-5198,PB1013574,the independent,"Independent (New York, N.Y. : 1978)"
i275439306,c22709022,1077-8918 1077-8918 0731-5198 1,PB1009791,the independent film & video monthly,
i275471135,c24498361,0743-4545 0743-4545 1,PB1012618,film and video makers travel sheet,
i275426993,c21926451,0300-7472,PB1009232,afterimage,
i275455300,c24358563,0037-4830,PB1011311,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275457618,c24366675,0198-1056 1,PB1010602,cinefex,
i275438119,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012017,the independent film & video monthly,
i275450417,c24357571,0019-3712 0019-3712 1,PB1014047,the independent film journal,
i275459500,c24373667,0048-4911 0048-4911 z,PB1010762,positif,
i275446761,c16330274,0036-9543 0036-9546 z,PB1007269,screen,"Screen (London, England)"
i275481062,c24501748,1527-0599 1527-0599 0889-8928 1,PB1013818,main,"MAIN (Oakland, Calif.)"
i275452086,c24357571,0019-3712 0019-3712 1,PB1014214,the independent film journal,
i275469323,c24497460,0009-7071 0009-7071 4,PB1012383,cinema canada,
i275477800,c2450144x,0015-1610 0015-1610 1,PB1013258,filmmakers newsletter,
i275475098,c24500380,0015-1025 0015-1025 z,PB1013093,film,"Film (London, England : 1954)"
i27547589x,c24500422,0896-6389 0896-6389 1,PB1012858,film threat,"Film threat (Beverly Hills, Calif. : 1991)"
i275465858,c24495724,1041-617X 1,PB1011918,animation magazine,
i275473077,c24500331,0311-3639 0311-3639,PB1012751,cinema papers,
i275433432,c1740910x,0199-7300 1,PB1008524,the film journal,
i275455191,c24358563,0037-4830,PB1011300,sightlines,"Sightlines (New York, N.Y. : 1967)"
i275477940,c2450144x,0015-1610 0015-1610 1,PB1013272,filmmakers newsletter,
i275478415,c24501499,0194-4339 0194-4339 1,PB1013144,filmmakers,
i275451756,c24357571,0019-3712 0019-3712 1,PB1014181,the independent film journal,
i275473387,c24500331,0311-3639 0311-3639,PB1012782,cinema papers,
i275474768,c24500380,0015-1025 0015-1025 z,PB1013060,film,"Film (London, England : 1954)"
i275477496,c2450144x,0015-1610 0015-1610 1,PB1013189,filmmakers newsletter,
i275451288,c24357571,0019-3712 0019-3712 1,PB1014134,the independent film journal,
i275447418,c14756985,0160-6840,PB1011171,wide angle,
i275451574,c24357571,0019-3712 0019-3712 1,PB1014163,the independent film journal,
i275456250,c24364617,0008-011X 0757-8075,PB1010439,cahiers du cinéma,
i275439781,c21349447,0731-5198,PB1013587,the independent,"Independent (New York, N.Y. : 1978)"
i275438211,c22709022,1077-8918 1077-8918 0731-5198 1,PB1012027,the independent film & video monthly,
i275458362,c24373667,0048-4911 0048-4911 z,PB1010647,positif,
i27545048x,c24357571,0019-3712 0019-3712 1,PB1014054,the independent film journal,
i275432749,c1740910x,0199-7300 1,PB1008455,the film journal,
i275472383,c24499419,0163-5069 0163-5069 1,PB1012506,film criticism,
i275476546,c24501360,0015-5128,PB1013387,focus on film,
